Lmod has detected the following error: A different version of the 'GCCcore'
module is already loaded (see output of 'ml').
You should load another 'GCC' module that is compatible with the currently
loaded version of 'GCCcore'.
Use 'ml spider GCC' to get an overview of the available versions.


If you don't understand the warning or error, contact the helpdesk at
hpc@vub.be 
While processing the following module(s):
    Module fullname        Module Filename
    ---------------        ---------------
    GCC/12.3.0             /apps/brussel/RL8/skylake/modules/2023a/all/GCC/12.3.0.lua
    gfbf/2023a             /apps/brussel/RL8/skylake/modules/2023a/all/gfbf/2023a.lua
    sympy/1.12-gfbf-2023a  /apps/brussel/RL8/skylake/modules/2023a/all/sympy/1.12-gfbf-2023a.lua


Due to MODULEPATH changes, the following have been reloaded:
  1) OpenSSL/1.1

== Dataset=Naval Propulsion X.shape=(11934, 16) LogScore/Normal
[iter 0] loss=-2.8011 val_loss=0.0000 scale=1.0000 norm=0.3859
[iter 100] loss=-3.0344 val_loss=0.0000 scale=1.0000 norm=0.3332
[iter 200] loss=-3.3003 val_loss=0.0000 scale=1.0000 norm=0.3249
[iter 300] loss=-3.5370 val_loss=0.0000 scale=2.0000 norm=0.6667
[iter 400] loss=-3.7502 val_loss=0.0000 scale=1.0000 norm=0.3444
[iter 500] loss=-3.9459 val_loss=0.0000 scale=1.0000 norm=0.3516
[iter 600] loss=-4.1268 val_loss=0.0000 scale=1.0000 norm=0.3542
[iter 700] loss=-4.2852 val_loss=0.0000 scale=1.0000 norm=0.3600
[iter 800] loss=-4.4166 val_loss=0.0000 scale=1.0000 norm=0.3662
[iter 900] loss=-4.5235 val_loss=0.0000 scale=1.0000 norm=0.3723
[iter 1000] loss=-4.6100 val_loss=0.0000 scale=1.0000 norm=0.3781
[iter 1100] loss=-4.6927 val_loss=0.0000 scale=2.0000 norm=0.7560
[iter 1200] loss=-4.7540 val_loss=0.0000 scale=1.0000 norm=0.3838
[iter 1300] loss=-4.8031 val_loss=0.0000 scale=1.0000 norm=0.3898
[iter 1400] loss=-4.8528 val_loss=0.0000 scale=1.0000 norm=0.3951
[iter 1500] loss=-4.8994 val_loss=0.0000 scale=1.0000 norm=0.3993
[iter 1600] loss=-4.9469 val_loss=0.0000 scale=1.0000 norm=0.4008
[iter 1700] loss=-4.9866 val_loss=0.0000 scale=1.0000 norm=0.4048
[iter 1800] loss=-5.0207 val_loss=0.0000 scale=1.0000 norm=0.4078
[iter 1900] loss=-5.0554 val_loss=0.0000 scale=1.0000 norm=0.4103
[iter 0] loss=-2.8018 val_loss=0.0000 scale=1.0000 norm=0.3856
[iter 100] loss=-3.0296 val_loss=0.0000 scale=1.0000 norm=0.3336
[iter 200] loss=-3.2844 val_loss=0.0000 scale=1.0000 norm=0.3236
[iter 300] loss=-3.5373 val_loss=0.0000 scale=2.0000 norm=0.6584
[iter 400] loss=-3.7429 val_loss=0.0000 scale=1.0000 norm=0.3386
[iter 500] loss=-3.9319 val_loss=0.0000 scale=1.0000 norm=0.3508
[iter 600] loss=-4.1086 val_loss=0.0000 scale=1.0000 norm=0.3582
[iter 700] loss=-4.2575 val_loss=0.0000 scale=2.0000 norm=0.7271
[iter 800] loss=-4.3856 val_loss=0.0000 scale=1.0000 norm=0.3680
[iter 900] loss=-4.4895 val_loss=0.0000 scale=1.0000 norm=0.3732
[iter 1000] loss=-4.5802 val_loss=0.0000 scale=1.0000 norm=0.3783
[iter 1100] loss=-4.6563 val_loss=0.0000 scale=1.0000 norm=0.3856
[iter 1200] loss=-4.7245 val_loss=0.0000 scale=1.0000 norm=0.3885
[iter 1300] loss=-4.7845 val_loss=0.0000 scale=1.0000 norm=0.3914
[iter 1400] loss=-4.8371 val_loss=0.0000 scale=1.0000 norm=0.3954
[iter 1500] loss=-4.8815 val_loss=0.0000 scale=1.0000 norm=0.3996
[iter 1600] loss=-4.9278 val_loss=0.0000 scale=1.0000 norm=0.4004
[iter 1700] loss=-4.9667 val_loss=0.0000 scale=1.0000 norm=0.4045
[iter 1800] loss=-5.0009 val_loss=0.0000 scale=1.0000 norm=0.4062
[iter 1900] loss=-5.0362 val_loss=0.0000 scale=1.0000 norm=0.4095
[1/20] BestIter=2000 RMSE: Val=0.0021 Test=0.0023 NLL: Test=-4.8880
[iter 0] loss=-2.7979 val_loss=0.0000 scale=1.0000 norm=0.3850
[iter 100] loss=-3.0307 val_loss=0.0000 scale=1.0000 norm=0.3324
[iter 200] loss=-3.2982 val_loss=0.0000 scale=2.0000 norm=0.6427
[iter 300] loss=-3.5451 val_loss=0.0000 scale=1.0000 norm=0.3340
[iter 400] loss=-3.7642 val_loss=0.0000 scale=1.0000 norm=0.3440
[iter 500] loss=-3.9641 val_loss=0.0000 scale=1.0000 norm=0.3536
[iter 600] loss=-4.1292 val_loss=0.0000 scale=1.0000 norm=0.3629
[iter 700] loss=-4.2852 val_loss=0.0000 scale=1.0000 norm=0.3674
[iter 800] loss=-4.4246 val_loss=0.0000 scale=1.0000 norm=0.3680
