dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
Boston Housing, 3.103314195500269, 0.8616023886498408, 2.9257316379074596, 0.6463128346232543, 1.6177300344046788, 0.33355523644997803, 2.5517536248861346, 0.35816029961070844, 0.9340235904814562, 0.06733330630686132, 0.4044992923736572
Concrete Compression Strength, 4.580641758575121, 0.678437864119473, 4.0790235325105915, 0.7908791457331517, 2.4083784129038164, 0.3297279050330821, 3.5300594908569636, 0.33856722145788576, 1.1216810779531465, 0.0336028553229785, 0.710465931892395
Energy Efficiency, 0.754777072934754, 0.15255691591775505, 0.7878643182810867, 0.1804423563061244, 0.3493312119095041, 0.05042835520440588, 0.6428095115660206, 0.09054980311245028, 0.29347829965651645, 0.04946185607805707, 1.292581558227539
Kin8nm, 0.21984772595263924, 0.019114424053225557, 0.18287213953281478, 0.6852520090100472, 0.13009165719423318, 0.028886288367590614, 0.2714269964540389, 0.11653869662473625, 0.14133533925980565, 0.08770848011967504, 2.7624099135398863
Wine Quality Red, 0.6266146347678014, 0.038978737675938964, 0.9145865348975066, 0.06838526673036957, 0.3460168591606133, 0.021095614600053016, 0.6860061711367242, 0.035480781429567475, 0.339989311976111, 0.0225766663512378, 0.32993168830871583
Combined Cycle Power Plant, 3.2296331016332367, 0.21323728876319334, 2.755602057085329, 0.17164983114188265, 1.713724712310396, 0.07650983801541994, 2.9711009963132247, 0.09092342637744318, 1.2573762840028284, 0.023612958225794116, 1.4256701231002809
Protein Structure, 3.7532572351503455, 0.017913396441508675, 2.7036648794279343, 0.02018868936730937, 1.9684023867532132, 0.013932553354115586, 3.5123965645250825, 0.026816023747227205, 1.5439941777718693, 0.01523887372968171, 9.484997129440307
Yacht Hydrodynamics, 3.49807108833935, 1.1941860756907656, 1.1885515954183128, 0.7997024552418861, 1.1462457722745307, 0.487148582043141, 1.8889431686845888, 0.681009323196111, 0.742697396410058, 0.2100909021782902, 2.468603491783142
Year Prediciton MSD, 9.869342403463572, 0.0, 4.458786005526725, 0.0, 5.35303411544155, 0.0, 7.955249367456811, 0.0, 2.6022152520152613, 0.0, 85.94697499275208
Naval Propulsion, 0.0819391288644242, 5.421919182925831e-05, -1.0831123593923477, 0.0006480115968906529, 0.04966845062856044, 0.00014059593461342033, 0.0960719176896576, 0.00015935773165566897, 0.04640346706109717, 9.494972959388267e-05, 39.03954805135727
