dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
Wine Quality Red, 0.6291680213345195, 0.040067467842564285, 0.9175939509351252, 0.07100039151056539, 0.34803828063920894, 0.021670321583392625, 0.6880795621389031, 0.03354712051389692, 0.3400412814996942, 0.020909346698150984, 0.7117500901222229
Concrete Compression Strength, 4.8550209803984075, 0.47997793379431053, 3.0706901674325726, 0.1665042227748131, 2.581845233355628, 0.2592364320952037, 4.497479865457526, 0.29660195320847643, 1.915634632101898, 0.06217541560067732, 1.0208519101142883
Combined Cycle Power Plant, 3.4045792191674193, 0.2099612740622494, 2.665564766291951, 0.09256681243776309, 1.8149597559292896, 0.07229659828619064, 3.4303539121928877, 0.09546624556720994, 1.6153941562635985, 0.04455868629305682, 2.2154076218605043
Yacht Hydrodynamics, 2.136973175156936, 1.8096790649160712, 0.7698204165366498, 0.39521746724293255, 0.7815668693834581, 0.6146978596814147, 1.2499656582622585, 0.8747609846158894, 0.46839878887880015, 0.2716883609979503, 2.8562132239341738
Protein Structure, 3.7288264038866763, 0.021507092805700866, 2.679593651108539, 0.031070948592706222, 1.953410779163092, 0.012493563881038092, 3.5372692544690993, 0.022155332475624012, 1.5838584753060068, 0.009684933475328998, 12.197396755218506
Boston Housing, 3.8332640190344214, 0.8468708719035064, 2.7491346945986765, 0.34156830049945375, 1.9908545943183023, 0.3899932487802308, 3.4830203157866215, 0.42641095495280257, 1.4921657214683186, 0.07587891671702258, 3.2656699299812315
Energy Efficiency, 0.6559260109995191, 0.10813944416080144, 0.7119856171680524, 0.16248619102094197, 0.3188895409242499, 0.04090275313616328, 0.589114875466656, 0.05894642431623728, 0.27022533454240605, 0.022937644431389514, 4.875654685497284
Kin8nm, 0.18460123322633487, 0.004033693009279974, -0.3507074112917713, 0.018577301245820618, 0.10250039988444926, 0.0017782123387816587, 0.19032124945776105, 0.00206924059618746, 0.08782084957331178, 0.0011565063902937763, 15.777944803237915
Naval Propulsion, 0.048068860055083276, 7.51763787897395e-05, -1.6186114605992128, 0.0015915111904632436, 0.029139506354328187, 0.00010334788310224564, 0.05606963999489335, 0.00012062400541892444, 0.02693013364056516, 5.8063870868606215e-05, 29.885842049121855
Year Prediciton MSD, 9.057724141456204, 0.0, 3.489877241624273, 0.0, 4.67067913020964, 0.0, 9.078500169663387, 0.0, 4.407821039453747, 0.0, 1038.9435849189758
