dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
Boston Housing, 3.1593414186473767, 0.8439377786201351, 2.8846457694023813, 0.5808763467652434, 1.6772376835513458, 0.3508786135221048, 2.667563099095233, 0.3735707463539141, 0.9903254155438871, 0.0793209747874964, 0.22169755697250365
Concrete Compression Strength, 4.666599663631352, 0.758023436508927, 4.279176303661079, 1.0253720386596554, 2.472233218957552, 0.38813126414531496, 3.6041135596559473, 0.4087395927596623, 1.131880340698395, 0.042307985997469884, 0.2882089614868164
Energy Efficiency, 0.7235303515114676, 0.15887728869371814, 0.7889915475126532, 0.2580136715572188, 0.3398129198187754, 0.06213114790839773, 0.6389216671604823, 0.10894919626098905, 0.29910874734170695, 0.06066428691042654, 0.922967529296875
Combined Cycle Power Plant, 3.3702987286828168, 0.1956206171168229, 2.735810472897702, 0.1381943062591281, 1.7935192925697248, 0.06612985072381511, 3.21505208468285, 0.07057371986068628, 1.4215327921131253, 0.017145967733151673, 0.839194393157959
Protein Structure, 3.856708120871926, 0.019934252714914554, 2.7900598636549536, 0.039907670290132015, 2.0244437409564795, 0.012898376491392452, 3.4836031384581623, 0.01827271094991873, 1.4591593975016823, 0.007373672320302684, 3.6310898303985595
Wine Quality Red, 0.6266146347678014, 0.038978737675938964, 0.9145865348975066, 0.06838526673036957, 0.3460168591606133, 0.021095614600053016, 0.6860061711367242, 0.035480781429567475, 0.339989311976111, 0.0225766663512378, 0.3680411696434021
Kin8nm, 0.24795535019505205, 0.004963088124650491, 0.002296234360739327, 0.013208769790427885, 0.14130853070311272, 0.00255825961562108, 0.31133770461469934, 0.003650139812513914, 0.17002917391158653, 0.0014587986745041863, 18.01211905479431
Yacht Hydrodynamics, 3.49807108833935, 1.1941860756907656, 1.1885515954183128, 0.7997024552418861, 1.1462457722745307, 0.487148582043141, 1.8889431686845888, 0.681009323196111, 0.742697396410058, 0.2100909021782902, 2.7478105425834656
Year Prediciton MSD, 9.869342403463572, 0.0, 4.458786005526725, 0.0, 5.35303411544155, 0.0, 7.955249367456811, 0.0, 2.6022152520152613, 0.0, 85.05377054214478
Naval Propulsion, 0.2132836011225169, 0.00034085233971916425, -0.03245857382398559, 0.0011413944002551886, 0.12960714503017212, 0.00040327007478701643, 0.2975780273264922, 0.0005093116150402695, 0.16797088229632, 0.0003357651861335512, 25.85074026584625
