dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-reliability-mean,CRPS-reliability-std,CRPS-resolution-mean,CRPS-resolution-std,CRPS-uncertainty-mean,CRPS-uncertainty-std,time
Boston Housing, 2.651363427245713, 0.4284492399588855, 10.015218973373958, 7.296236822102801, 1.591105197111712, 0.2041210756474559, 0.7130932928761907, 0.28962932683380554, 3.8824148547033515, 0.7422508498320373, 4.7604267589388725, 0.6812153720913363, 51.666749227046964
Yacht Hydrodynamics, 0.5798856484771744, 0.24669861780205232, 1.9071786803001758, 2.3234395145090265, 0.28784279935977836, 0.14901584131841034, 0.12847801364655276, 0.08932893452773999, 6.369412529583341, 1.5386955409938108, 6.528777315296567, 1.547551901508245, 52.49342539310455
Concrete Compression Strength, 4.617576091190388, 0.5345741169380627, 3.4107901890120567, 0.41653997313544167, 2.4629701235747237, 0.2577773440151047, 0.4679094145092786, 0.1810425994490086, 7.182763469460468, 0.44445207459856484, 9.177824178525912, 0.47975977090708594, 52.811468064785004
Energy Efficiency, 0.4608850370496057, 0.05853379934392874, 0.7443569652111506, 0.6815032405629998, 0.2330867046206968, 0.02138854990316372, 0.01978572828486489, 0.014237161659066827, 5.444087588346241, 0.26713226616668073, 5.657388564682072, 0.2716214616588569, 62.13651094436646
Wine Quality Red, 0.614376679766117, 0.040170843615893716, 1.2812359034702308, 0.46120710754024197, 0.3416090209059688, 0.02353643045535942, 0.036996144551669774, 0.020656808228210467, 0.122234779895701, 0.03109008672923375, 0.42684765625, 0.02918206958775893, 64.09536230564117
Combined Cycle Power Plant, 3.620156784983203, 0.1948409303106104, 2.792515933458261, 0.2015224281492472, 1.9461302582698088, 0.07269899690211301, 0.097582176092492, 0.03180985854331846, 7.921909224649349, 0.13579428951590924, 9.770457306826668, 0.13739901990517495, 133.30646480321883
Kin8nm, 0.16918928213291143, 0.004418711387443696, -0.4115346642067335, 0.03430664005632944, 0.09398056942938451, 0.0023455659342103484, 0.003678908492598622, 0.000663949369554745, 0.06081287793306143, 0.004228371923733628, 0.15111453886984733, 0.003826188626338305, 230.1850691795349
Protein Structure, 4.516238389290318, 0.04031101774598168, 2.851175018622519, 0.01986228782359688, 2.463070694298763, 0.029102291519623787, 0.08642124242100582, 0.004900140793352215, 1.0344197923176537, 0.03462800630053026, 3.411069244195411, 0.01629478053122132, 1184.8016061782837
Naval Propulsion, 0.0021805982791713607, 8.662150824307215e-05, -4.9350090559269, 0.03495681451828245, 0.0011259714744282746, 3.8437250176482684e-05, 2.626869254270078e-05, 7.178811258541361e-06, 0.007405497994661133, 8.651526969749595e-05, 0.008505200776546703, 0.00010021485142675369, 340.84046560525894
Year Prediciton MSD, 9.154371048244244, 0.0, 3.475281314093658, 0.0, 5.454272687660893, 0.0, 0.4672629757394614, 0.0, 0.5018940868822943, 0.0, 5.488903798803725, 0.0, 17444.230237960815
