dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
Yacht Hydrodynamics, 5.535740004296469, 2.261945534863831, 0.5227262569322002, 0.4143612333385424, 1.4032980138004916, 0.6778628596519489, 2.3721272910077467, 1.0788272105203351, 0.9688292772072552, 0.4140200286251569, 0.5861679434776306
Wine Quality Red, 0.6604595714802677, 0.04610270481724504, 0.9749159298412581, 0.09847757196269469, 0.3643295986699512, 0.024344702486821863, 0.7187955546564683, 0.06216497743495225, 0.3544659559865172, 0.0438636308435423, 0.490372371673584
Protein Structure, 4.470507874268344, 0.04460512757687745, 2.9552839213760174, 0.17413468199317453, 2.379863397531585, 0.0357947066817022, 4.439798934954461, 0.039961116276121006, 2.0599355374228763, 0.01754074954499188, 1.9947105884552
Concrete Compression Strength, 6.211621892009001, 0.6194932899696391, 3.192008430586724, 0.2163947535418878, 3.246791002817381, 0.3359756110268534, 5.870412458194787, 0.4721561964248544, 2.6236214553774055, 0.207808069986563, 0.5673589110374451
Energy Efficiency, 0.7664795464158589, 0.2725537433461654, 0.7358996751987512, 0.42159677957023983, 0.34347355141807845, 0.10688371555100512, 0.6522047818364008, 0.20090739244377687, 0.30873123041832223, 0.09635976055799216, 0.7077940702438354
Boston Housing, 4.375266056962134, 1.1956558859824788, 2.601894303534081, 0.22551136062647528, 2.0150145640007255, 0.40017011395343094, 3.568940977854202, 0.5104772953265267, 1.5539264138534765, 0.14551429663171295, 1.2240628719329834
Combined Cycle Power Plant, 4.37625009743443, 0.18802324522235084, 2.814158460273327, 0.0879730339289698, 2.297227048966802, 0.09454893324829082, 4.416359400728732, 0.2631499174039976, 2.1191323517619294, 0.17785323511111323, 2.2153605461120605
Naval Propulsion, 0.0010354727907922897, 5.158339013846302e-05, -5.5049090537488174, 0.06088237543184073, 0.0005415396019898477, 1.85710736316217e-05, 0.0010857594148499447, 5.028177349656674e-05, 0.0005442198128600971, 3.741599804044833e-05, 9.35966979265213
Kin8nm, 0.16835709829367534, 0.004590796583212647, -0.5053021464335564, 0.0259497446133287, 0.08976194995159528, 0.0019199869836684987, 0.16503820856115986, 0.003247467434455867, 0.07527625860956459, 0.002142274104417955, 13.60511918067932
Year Prediciton MSD, 9.149416058547375, 0.0, 3.4211511358743416, 0.0, 4.5397535860844895, 0.0, 8.928778138075273, 0.0, 4.389024551990784, 0.0, 1097.6285591125488
