dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
Concrete Compression Strength, 4.7586641777022525, 0.5079345052762254, 3.0696900702396794, 0.19099139165682805, 2.542644506205141, 0.2559679526481158, 4.376253496202911, 0.2690211137546188, 1.8336089899977697, 0.055007276078643745, 0.7216832041740417
Boston Housing, 3.1918872877894438, 0.665702643135023, 2.731702863316386, 0.3864833540211608, 1.7107866029445429, 0.2851350672862066, 2.897622498809485, 0.27331748637292713, 1.186835895864942, 0.033843674573257244, 1.7639191269874572
Energy Efficiency, 0.5210104636839936, 0.062312334987812495, 0.6251291999033697, 0.28519088042031876, 0.2689070856567309, 0.029594637962824348, 0.5018351501688456, 0.04384145606455392, 0.23292806451211479, 0.020168346175042026, 5.515579795837402
Kin8nm, 0.19520101082232003, 0.0046164234437113694, -0.266827110120057, 0.025659174102276378, 0.10981444576820183, 0.0026479437563278786, 0.20669088401122018, 0.004874109942766941, 0.09687643824301835, 0.002763385447696224, 6.097481632232666
Wine Quality Red, 0.6296520212055926, 0.03650604516941235, 0.9563653731304373, 0.0865111004133983, 0.35076216129930005, 0.02041591852418691, 0.7243075143554132, 0.04516865835589653, 0.3735453530561131, 0.03386026600280959, 0.6489858031272888
Yacht Hydrodynamics, 0.7421657344712609, 0.3228960574373967, 0.5100304220891175, 0.2181134108248404, 0.32048676184209607, 0.10303106507232693, 0.5919221994388485, 0.1437924585942637, 0.27143543759675237, 0.0548863721203209, 1.3348289728164673
Combined Cycle Power Plant, 3.351061482753593, 0.22517190108062796, 2.6742745517797752, 0.1304908736447099, 1.7818279051898884, 0.08770013073885713, 3.3482076567301866, 0.1084847405649027, 1.5663797515402984, 0.03692361616427556, 2.1413919568061828
Protein Structure, 3.697189903746451, 0.014061910128407466, 2.95324483349277, 0.12972003105951913, 1.9557013604402325, 0.009944960043353242, 3.280600683141421, 0.017951048316002256, 1.3248993227011885, 0.010856420429653608, 10.173538064956665
Year Prediciton MSD, 9.403646751466516, 0.0, 3.5703271391891196, 0.0, 4.913849530852341, 0.0, 9.379296154183336, 0.0, 4.465446623330996, 0.0, 530.6715281009674
Naval Propulsion, 0.048000046949592756, 5.4496124394426774e-05, -1.6190610562415575, 0.0011349273868890366, 0.02911151919137416, 8.993802232435325e-05, 0.05604343333210841, 0.00011400750271106172, 0.02693191414073426, 6.308075846246286e-05, 48.40134696960449
