dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
Boston Housing, 3.0480551562355447, 0.7352022013776891, 2.7912200182488363, 0.4870388073623594, 1.6286610054659796, 0.2843399542245593, 2.666655906919536, 0.27480702087876285, 1.0379949014535559, 0.04071930145741728, 0.6177027821540833
Concrete Compression Strength, 4.657398044981678, 0.4992124064754351, 3.0957443390719854, 0.2109629804298025, 2.4802847884403656, 0.24981585102129394, 4.202290153630952, 0.26203323825657515, 1.722005365190586, 0.05770710207725225, 1.5507707715034484
Yacht Hydrodynamics, 1.0164635224559568, 0.48029721680315174, 0.5275704828888529, 0.3118131390613599, 0.3938831504978773, 0.16913204542499774, 0.6592518420801078, 0.2328528196896809, 0.26536869158223036, 0.07309013343949947, 0.24493340253829957
Wine Quality Red, 0.635449102441478, 0.03671404771800944, 0.9412437117222178, 0.07129727545721633, 0.3516378410523267, 0.020665149510454225, 0.6859461372842173, 0.03526374519866587, 0.3343082962318906, 0.025063697821384318, 0.5278690457344055
Energy Efficiency, 0.51254875543781, 0.06250903698921789, 0.637305013332685, 0.22248162634685806, 0.2620562896079811, 0.024200408628578928, 0.4936998906962751, 0.05254506040997911, 0.23164360108829413, 0.03724115172757065, 0.45899624824523927
Protein Structure, 3.989522056543578, 0.07857405387402372, 2.76519788664723, 0.044834419348920025, 2.152766201415294, 0.06513576938379671, 3.951060656071742, 0.03956868659886734, 1.7982944546564479, 0.040589948757102756, 51.89435386657715
Combined Cycle Power Plant, 3.3496729531907077, 0.20866650153263194, 2.7149737857507907, 0.1837275823018395, 1.7856682636063232, 0.08481834174716854, 3.2957906621547117, 0.07062372188127945, 1.5101223985483887, 0.032632862737553454, 16.287188363075256
Kin8nm, 0.11179884274492244, 0.003170861843031541, 0.8992664723735192, 0.00037188418123934765, 0.23829833656955376, 0.0007444441923765868, 0.7823451552551166, 0.002229226548488439, 0.5440468186855629, 0.0016958473526612861, 8.10655255317688
Year Prediciton MSD, 9.515772349038174, 0.0, 3.669432827285348, 0.0, 5.012102198928828, 0.0, 9.074414316797842, 0.0, 4.0623121178690145, 0.0, 202.92949032783508
Naval Propulsion, 0.02502206953976891, 6.007990146014701e-05, -2.278438821261691, 0.002229636060888583, 0.015121834821227951, 5.7352388191506726e-05, 0.02904761546099945, 8.552110466258121e-05, 0.013925780639771495, 4.3925578293044416e-05, 34.09890861511231
