dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Yacht Hydrodynamics,0.7412316848378315,0.3490244932676678,0.4839633120472137,0.23164126817528818,0.3192820449469373,0.11084061785600276,0.5974592732949237,0.16735772304232926,0.27817722834798625,0.07683473894886081,0.8351192116737366,777.5140151977539,0.10631963561667745,0.03969343718563255,0.2233329301601456,0.07348070553032174,0.09331355941430333,0.04804927900450479,0.1409887083970421,0.05016062128710897
Wine Quality Red,0.6237590371832071,0.03635820115063072,0.8959615928578335,0.06806272291098563,0.3419745233372676,0.020024974702382032,0.6718492160326146,0.034422077139265025,0.3298746926953471,0.022000117269448293,0.45843957662582396,903.4612214565277,0.11040583831776038,0.010500254937451135,0.23652624182403081,0.013530887445639581,0.1060155160464888,0.007686731399362926,0.15098253206276,0.008841412782326096
Protein Structure,3.796311890748683,0.05459940177264842,2.7037230141348685,0.023587745491938636,2.0040261997103355,0.04714104159215099,3.6281832930141475,0.1552316148542343,1.6241570933038123,0.10884734330827502,9.714433193206787,5237.312922239304,0.5821681807299222,0.010783024943641912,1.3645587281789713,0.03426281524886653,0.7340871859080267,0.022289651950302754,0.8936046982723067,0.019830120460022818
Boston Housing,3.162815485702633,0.7109742069794952,2.668783946275549,0.3603621428783783,1.6805046140743518,0.2763858221310658,2.871755407740146,0.3058672336303402,1.1912507936657943,0.0792340630709033,0.31091288328170774,1584.3348860740662,0.5431167307147622,0.1257295523450217,1.1316216263116572,0.16593475054836612,0.5893083775806323,0.15737558789509487,0.7546822448690172,0.13256815508440142
Energy Efficiency,0.6249698814177175,0.11835880948094132,0.8673881642035367,0.5074680809497196,0.3065233141978978,0.04712412502796409,0.5724312392487476,0.07064384707013988,0.2659079250508499,0.03901274460564243,0.9164025068283081,1668.618886232376,0.10247149487704263,0.024712096932873056,0.21823146757646042,0.031801673629684016,0.08251217794893159,0.015917871737559826,0.13440504680081156,0.021796677495061687
Combined Cycle Power Plant,3.3882246563903777,0.20629433864268654,2.685125114526664,0.13435257055871466,1.8067651053007363,0.08060026441740337,3.4053994133761356,0.12069436548809237,1.5986343080753986,0.08382406346002548,2.673244905471802,2383.4693052768707,0.5912307251661618,0.037257909830767114,1.2445496498992825,0.055294264027748986,0.570201700969398,0.029878108956974563,0.8019940253449475,0.03612517391089978
Concrete Compression Strength,4.7966418955476255,0.6851086147107266,3.2113444176527275,0.34163148662868403,2.5414540056630246,0.3816022842398235,4.262662654735642,0.38672423454954674,1.721208649072618,0.05389781586432202,0.8189548969268798,1988.9296131134033,0.878921461787774,0.21410285069569024,1.6987499973675344,0.22872391408438694,0.8559910164595909,0.16650257618025635,1.1445541585382997,0.18171218705042383
Kin8nm,0.18956031012463767,0.004268517175945758,-0.3270324991978498,0.02086571269948448,0.10535834748091348,0.002059304340893012,0.1986725573730473,0.0028007538804034303,0.09331420989213382,0.0012750463899353786,6.5637865424156185,2999.462985754013,0.03292393955139452,0.0008788927619270814,0.07610116154846125,0.0016348859498971431,0.027809951034638437,0.0007377359405066561,0.0456116840448314,0.0009116329064479638
Naval Propulsion,0.03793110340871296,0.00021291051601473256,-1.8791769169073498,0.005567217877244459,0.02272895465139086,0.00014731438329962138,0.04366957120048521,0.00023402493997753276,0.02094061654909435,9.89093194941653e-05,9.788067662715912,3683.068161725998,0.00854654997722419,4.4703442606241116e-05,0.018710900533259252,0.0001033398259788418,0.0010621897639204873,5.360382763132825e-06,0.009439880091467975,5.041278921491597e-05
Year Prediciton MSD,9.14378684095096,0.0,3.553265327974463,0.0,4.658243139151352,0.0,8.319975188914428,0.0,3.6617320497630765,0.0,205.7456316947937,86445.4153778553,1.8906174302139789,0.0,3.137635571839016,0.0,1.2495182209482543,0.0,2.092590407667083,0.0
