dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Yacht Hydrodynamics,8.70786350459286,2.8405372340071775,0.8563694409949301,0.6286467714468698,2.5566441166451184,1.0674347234676627,3.9754011866631394,1.4613860502499012,1.4187570700180203,0.4243103444349761,2.8610557079315186,855.2915117740631,0.6640228040162862,0.23504069152229393,1.8110413550782585,0.7049224815246948,0.8866194755236974,0.5707495349637087,1.1205612115394143,0.4817887900322867
Wine Quality Red,0.6484814671977673,0.03806011949635725,0.9673123365942036,0.08642829827523756,0.3559578507965607,0.019809610247560016,0.6778117832125964,0.026607225173999004,0.32185393241603566,0.016636846472798825,0.5002821087837219,1125.781260728836,0.11390169271536454,0.009461294527083323,0.24659399397671225,0.01366107016500983,0.11365238832301194,0.00870742625142999,0.1580493583383629,0.008783745609661765
Protein Structure,4.290506884706459,0.15284137005158432,3.009396138086184,0.3066067785528985,2.2050500656703926,0.10918850987543795,4.228072198560835,0.32131379755612083,2.0230221328904423,0.2137241588070362,15.64303698539734,5180.641386985779,0.6085229998979153,0.029769549489162838,1.5397397788930303,0.08556100683801146,0.7754839962951805,0.023313403263705318,0.9745822583620418,0.04565609258427996
Kin8nm,0.1119887081662434,0.003821563633162009,-0.842581127888509,0.02876405931469434,0.061206075261033055,0.001701821958520174,0.12886840583565443,0.003555918272309229,0.06766233057462136,0.0030268055233941397,6.518190169334412,1886.0748870372772,0.01982787519699979,0.0007082176275062037,0.04290061998905148,0.001437921879289898,0.018055818858846398,0.00047311067152269883,0.026928104681632557,0.0006751075942060151
Boston Housing,5.4493458109028285,1.2275623253220522,2.8438159363180406,0.34749819084016337,2.375921965663794,0.4113963738792898,4.299894267692082,0.703839905767916,1.9239723020282877,0.3398539552463366,0.6366445183753967,2075.860336303711,0.7832102589232658,0.12014305478436459,1.7083655535006055,0.30443122306855663,0.622051058649893,0.16419543678617854,1.037875623691255,0.16921825811749894
Energy Efficiency,0.7429775861617798,0.2584299985188265,1.2653273013229085,1.4147312640512388,0.3020098772400774,0.09726974200408296,0.6213689902049384,0.29186531059235715,0.31935911296486114,0.1985513895020897,1.6189928293228149,2232.8760797977448,0.1136106707759095,0.05467470610757366,0.2136660952208878,0.06563500506610911,0.0757521703358566,0.02627796124843635,0.13434297877755133,0.04695494235269042
Naval Propulsion,0.008621113543780565,0.02188971710177481,-4.332438037990496,0.8829467019776949,0.004413068862483864,0.012405371037935698,0.00878773485254044,0.024460995083929703,0.004374665990056575,0.012064228947162364,6.797748053073883,2353.016215324402,0.0016678088350816412,0.00481100375021775,0.003261553066764074,0.00988665835220187,0.0008868291391700199,0.0014146949728835619,0.0019387303470052443,0.005369318418684361
Concrete Compression Strength,7.961560683026261,1.1260338977092628,3.350524408036409,0.169327095650669,4.021201693972964,0.5435428630471544,7.445068680672328,0.9852527994121795,3.423866986699364,0.5228716276002336,2.214732992649078,2462.8136579990387,1.3727152125215019,0.18495575276586973,2.9165376691423903,0.4195077591101528,0.9720908598385252,0.18800582003316818,1.7537812471674723,0.22892091668712
Combined Cycle Power Plant,4.786531264670198,1.503596046037595,2.9835965901884896,0.3307040118007148,2.593324927767143,0.9397026422804629,4.911089935216754,1.7957124720921571,2.3177650074496112,0.8595861908423443,7.9202393054962155,3463.3305475711823,0.8869870123286836,0.3614541294803488,1.8905623217416285,0.7871076734582313,0.6040533451861656,0.04739445056361888,1.1272008930854922,0.38829584714435983
Year Prediciton MSD,9.516656447113327,0.0,3.4715358990386904,0.0,4.761637742976542,0.0,9.500165167463551,0.0,4.7385274244870095,0.0,586.4681067466736,91801.11240553856,1.8847189032023275,0.0,3.262244251239916,0.0,1.2220613772630458,0.0,2.1230081772350964,0.0
