dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Yacht Hydrodynamics,4.007837343103697,1.3256097537611653,0.5444626398009071,0.7318580663630753,1.018556786901207,0.37323823230588216,1.8953204904190748,0.5920546317603471,0.8767637035178673,0.23156182289921348,0.39689127206802366,736.9618918895721,0.34469580656624454,0.10741411518045747,0.7732186444190239,0.28442986592478026,0.12914364649971694,0.07469179592366287,0.41568603249499514,0.1463138336454956
Wine Quality Red,0.6593216260367132,0.039459158749367666,0.9786643219584941,0.08370804972777068,0.3617678651779345,0.02256810875477305,0.6824901727035209,0.042280517332145745,0.3207223075255862,0.026597909970928448,0.4881519556045532,1073.2595193386078,0.11616121933436103,0.009339576727323733,0.25079779960215093,0.015999085676828076,0.11399531949993462,0.008321239733736423,0.16031811281214886,0.009819751899116233
Naval Propulsion,0.0009504211505643184,5.7502337464529614e-05,-5.736322346129004,0.039836250310959914,0.00046859051260836614,1.814774735608592e-05,0.0010129564317997162,4.17794113436804e-05,0.00054436591919135,2.9861253513309535e-05,4.0423561334609985,1176.787964105606,0.00015457733691423092,6.822521964560601e-06,0.0003172741062483266,1.2796331977444496e-05,0.0001525692154678028,7.517955599053015e-06,0.00020814021954345345,8.301180734263354e-06
Protein Structure,5.516013516909883,0.10072013883442765,3.0675176312454835,0.14135032130736508,2.8484884103799533,0.0297477331865154,5.485991877279587,0.07291770470413457,2.6375034668996338,0.051190727608628105,21.290989017486574,8051.7941172122955,0.8118006156229909,0.02088146703348178,2.0435962512824615,0.026852150396844784,0.8625643220528929,0.02149181452522244,1.2393203963194481,0.013399020461799986
Boston Housing,5.549775533379411,1.37862710516617,2.743388740309712,0.24625113132101228,2.4137300822675543,0.4627629964312693,4.371724813461631,0.8181985074504948,1.9579947311940764,0.4029409258601428,1.0647973418235779,2148.4706542491913,0.7855488047769729,0.1486641289476128,1.7320718827434618,0.34343632619338005,0.6267785143380719,0.17848268677350593,1.0481330672861688,0.1926418139818632
Energy Efficiency,0.6821008167854926,0.12960352933999492,1.0110890357332998,1.0813729148428508,0.2906044766913497,0.04037507417907978,0.5353103421138494,0.06948418270430555,0.24470586542249978,0.03936068666947801,2.210894429683685,2131.83723115921,0.09675438167539925,0.021412566323069038,0.20973038671666924,0.031946413010257406,0.0730819504340497,0.013732479267013833,0.12652223960870607,0.018826522776929658
Kin8nm,0.1374208247643939,0.0035084575864980194,-0.6223219880036283,0.036670736286804805,0.07516189730902158,0.001973186960611005,0.13803734210343904,0.006025260096140374,0.06287544479441746,0.00470938510152967,7.447168505191803,2137.4007906913757,0.025249917695117724,0.0008764486041105083,0.05335384173562885,0.001732479339343915,0.02003998721431654,0.0005864502116284115,0.0328812488816877,0.0008527549832178641
Concrete Compression Strength,9.26573918044121,1.4233167918737402,3.419378934249148,0.16026640133588047,4.659807623065425,0.7293350274142929,8.703759523256409,1.3646080014993813,4.043951900190982,0.6695091090698839,4.113638937473297,2598.6291151046753,1.603150645841796,0.2684200528918695,3.4479167614546418,0.5807662782476812,0.9551664429228562,0.14049879829989786,2.0020779500730983,0.2927932520261523
Combined Cycle Power Plant,3.8923407457100536,0.25650732901288736,2.786841722599684,0.1439127602902487,2.0577986923280696,0.1402266624282927,3.74178387527011,0.28034221517540725,1.6839851829420411,0.14726481936003782,7.672492909431457,3646.25612783432,0.6722046845078489,0.049907835491016225,1.4536562544325426,0.10366299935427874,0.5849255226922987,0.03818827055634231,0.9035954872108969,0.06105367729267564
Year Prediciton MSD,9.093262730874422,0.0,3.4318461694719544,0.0,4.5539742122826175,0.0,8.702613996184986,0.0,4.148639783902369,0.0,1047.9878301620483,89831.74577498436,1.775719963585061,0.0,3.1882445286567536,0.0,1.067169726650278,0.0,2.0103780729640306,0.0
