dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Yacht Hydrodynamics,2.0604421622799185,0.7362341800773633,0.1988435113587928,0.3026704159230135,0.6105276942809039,0.23912958737729015,1.0926978754285188,0.388242002369443,0.482170181147615,0.15691080876144214,0.5605435013771057,612.5467803478241,0.1899581730890515,0.06522921759478997,0.44631707076776417,0.17312469305623754,0.12571000990903908,0.07924284214223327,0.25399508458861825,0.09986003889090497
Wine Quality Red,0.6390656100972375,0.03692356952321166,0.9278971014472134,0.07522631927765058,0.3503938922270859,0.02070024961284121,0.6743557534226421,0.03289361285472071,0.32396186119555614,0.022112415960765262,0.2018574833869934,865.218832731247,0.11258891334201074,0.009254941953233923,0.2425203670561314,0.01412862972803701,0.1092140657949355,0.009491686517628902,0.15477444873102592,0.009368484129341987
Protein Structure,4.280962053932522,0.06704647540083204,3.037468393734193,0.21744000185571427,2.2204767349144796,0.05457772574262947,4.115860976987792,0.1632661336374092,1.8953842420733125,0.11100359255923138,5.320985174179077,4924.668335914612,0.5971023651583697,0.011252606918838316,1.5592793810131251,0.04934763434011297,0.7837581737200697,0.01094136508136171,0.9800466399638548,0.02254006132138117
Boston Housing,3.5898935839507344,0.9514906578943343,2.565184556215934,0.19381824452040455,1.8031157130531006,0.31558304595390346,3.2613072968955947,0.3902753787363903,1.4581915838424933,0.10674204554045132,0.3204375743865967,1453.2395701408386,0.5505505374758601,0.09920547625202954,1.2336625929907254,0.19563471345517602,0.6221014348458254,0.17922420125900765,0.8021048551041371,0.14369134577871262
Energy Efficiency,0.7249325473865799,0.1284812753818118,1.1376173307518689,1.3445994464025426,0.32134030628099197,0.05731064367892067,0.6170902097606917,0.12347238914019182,0.29574990347969976,0.07299770220237338,0.8836279392242432,1671.6978244781494,0.10552538687275181,0.026854142980462122,0.2320951436327649,0.04110987341345335,0.081168938115849,0.015152457982729444,0.13959648954045523,0.023934133271238195
Combined Cycle Power Plant,3.5833490165149042,0.19104678650554663,2.6677925714047985,0.08408831875675098,1.8990130862549184,0.0785453920355243,3.718178290226512,0.2009387665823669,1.8191652039715938,0.13997354439433404,2.3733247041702272,1723.5411822795868,0.6351333069390643,0.04142372304290808,1.3249953366461966,0.05514316127578833,0.5555410451430732,0.022841312621481046,0.8385565629094446,0.03681905955811193
Concrete Compression Strength,5.744233517245127,0.7320857520955976,3.1931236401350436,0.3708906643186922,2.9885442580107338,0.35151718936381315,5.315637585522,0.4897569042640226,2.327093327511266,0.24730063530497148,6.198477697372437,1879.7630586624146,0.930318727274434,0.12483639646461009,2.0722824466361263,0.23258720442993602,0.977664380225199,0.18603555896932714,1.3267551847119194,0.16401250474029416
Kin8nm,0.1612765127174443,0.006710908077015335,-0.5145773067445842,0.034619320681377394,0.08697447622164373,0.003122026505195966,0.15755285477569833,0.005546577703268448,0.07057837855405456,0.0026889344005853653,8.011388468742371,2663.768636226654,0.028468570792765553,0.001118988728089081,0.0620080269278836,0.0023467539577535414,0.023357475111633136,0.0010004992743569364,0.0379446909440941,0.0013560365824917965
Naval Propulsion,0.0014578499666992538,7.819870322051667e-05,-5.5777358777278785,0.03858929023751951,0.0006253263480523433,2.4241215028701483e-05,0.001128343753991834,3.841662504001598e-05,0.0005030174059394908,1.7248002437045775e-05,6.4509407639503475,2708.768857240677,0.0002058826600455443,1.051035563642887e-05,0.00044426495324436136,1.644070107799178e-05,0.0001688490521750186,9.342449679889492e-06,0.0002729988884883081,1.1186202648485833e-05
Year Prediciton MSD,9.003776606127555,0.0,3.416456045803027,0.0,4.4532533052865375,0.0,8.560569769405996,0.0,4.107316464119458,0.0,261.72472739219666,88706.42087769508,1.7829127784463248,0.0,3.076018707246427,0.0,1.0768852394234585,0.0,1.9786055750387368,0.0
