dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Boston Housing,4.973282560199239,1.0493763749375815,2.7507442628026277,0.18171448494409703,2.3917945242052268,0.4186420385250734,4.531157789129151,0.7365065456522324,2.1393632649239245,0.3652013479465324,0.45836989879608153,951.5459344387054,0.5858165504477999,0.08704573624147639,1.7422884294098497,0.2946391340919196,0.7913767912378357,0.19788465555937873,1.0398272570318285,0.17668230293887136
Energy Efficiency,3.9917044807372655,0.6255576678713998,1.7215965492154335,0.49477286964250283,1.5345209343135213,0.2877792641515285,2.87680692134892,0.5699035612073751,1.3422859870353983,0.2846714059145105,0.8352138638496399,1039.2199335098267,0.4816722767840912,0.11826866755855114,1.2025526948978373,0.23420963428664504,0.23489432798659227,0.03923410036207348,0.6397064332228404,0.12465782995421672
Concrete Compression Strength,6.412199823284911,0.7418450373278057,3.3376294013912107,0.32664230054417015,3.3441208570138046,0.37650349320598325,6.1298682813139065,0.5602155607353866,2.785747424300102,0.2763517088875266,0.7872218608856201,1227.3616325855255,1.0174992552841555,0.13963237688173308,2.3658941322021487,0.26914242193874593,1.0160333015610103,0.17397529874421933,1.4664755630157715,0.17075967050621704
Protein Structure,4.414572475152935,0.1298530624004497,2.9462196813073405,0.19085183087964225,2.3172896635170495,0.10666241344297855,4.438280542797687,0.29019997943398557,2.120990879280638,0.18372676411037825,4.82854814529419,2778.898281812668,0.616949633288258,0.022464005305855784,1.6551370978285547,0.0891368247242045,0.7897500230595466,0.025937643298086444,1.0206122513921199,0.04561417655587822
Wine Quality Red,0.6398224117351601,0.042789402990082936,0.9411377502897246,0.06994080942907029,0.3547542995661071,0.02235637008330041,0.6860268588208682,0.029047763057306508,0.33127255925476107,0.012436055526662087,0.5606603622436523,946.4200873374939,0.10875604475797451,0.011560876952719104,0.2510673986375332,0.015459648817660137,0.11146931943543018,0.009072485990890963,0.15709758761031262,0.010190000925930778
Yacht Hydrodynamics,7.475663910078408,3.1030615669958297,0.5733546568744451,0.5707642022606995,1.7558206144869046,0.9462184498170162,3.2139464187554103,1.727664363312502,1.4581258042685057,0.78469486071001,0.5071641206741333,859.6803257465363,0.6172551873907375,0.33725493171001386,1.4056007142374591,0.7453551703535461,0.12123336802108012,0.05498878755649249,0.7146964232164257,0.3739380759318293
Kin8nm,0.15334436733085025,0.005782748029651059,-0.5587847269422339,0.048647992849498424,0.08228177266603749,0.0029844489339014087,0.14725925273335833,0.005364629796422487,0.06497748006732082,0.002846037218374742,1.528459119796753,1704.7858364582062,0.02636179095695778,0.001080608649447988,0.058312961236704444,0.0021582525684239384,0.0230766211691031,0.0013383797611504593,0.035917124454255114,0.001250385999363032
Combined Cycle Power Plant,3.863673662815085,0.26741550643067985,2.805241715658358,0.19701499451258833,2.0712310760853314,0.14702293655501378,4.037420861240636,0.4444648534701831,1.9661897851553043,0.3095074487579905,1.3984203219413758,1477.258983373642,0.6362179087149865,0.04530435751767595,1.4613868553616036,0.10883690465110969,0.6357444468415224,0.05203251794769975,0.911116403639371,0.06516658296282485
Naval Propulsion,0.002454246109886739,0.00011484180919957033,-5.26327914006032,0.0395356948839536,0.0009998325357136208,3.7721450118710297e-05,0.001878574829777774,7.025051908990962e-05,0.0008787422940641533,3.4330825258644006e-05,3.756525421142578,2462.0649065971375,0.0002499583013865987,1.3874572461318883e-05,0.000742821376641462,2.9050849859150157e-05,0.00028615323220871714,1.3996773155137083e-05,0.000426310970078926,1.6118490153892772e-05
Boston Housing,4.951680206816432,1.0592483851821013,2.741537369251951,0.1863019018660514,2.382089095427715,0.421684370864089,4.4954616975154025,0.7312704427659414,2.1133726020876864,0.35301064136878124,0.3893126368522644,535.501193523407,0.5853633027618613,0.0870021383550685,1.7345616069494512,0.2961632786062276,0.786985896301115,0.19734786423372153,1.0356369353374757,0.17839956400390108
Yacht Hydrodynamics,7.4757466040962814,3.1028395244914977,0.5629853057380454,0.5853072355069165,1.7560006062758178,0.9459930696471527,3.214236041240331,1.7269628839936149,1.4582354349645132,0.7842141513723059,0.5684865713119507,1026.0577342510223,0.6170339932407691,0.33758814002599896,1.4057659513873435,0.7450850960082118,0.12119819204190567,0.054923613126200026,0.7146660455566728,0.3739499055408298
