dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Yacht Hydrodynamics,10.420986974777584,2.5817968179250896,3.5127977573714944,0.519884879918627,6.831534566092635,2.9392344399831254,18.366540552665267,9.89579701227877,11.535005986572632,6.985118931715165,2.018124556541443,1279.5355124473572,3.3621583711960854,1.7168568877025343,3.07844636241611,0.7381324287327661,2.567050783165348,1.6506094820957975,3.0025518389258474,1.2945204208491548
Energy Efficiency,0.3457885898109142,0.0718363111466734,0.6143618350658924,0.8654086966482388,0.17439489592904925,0.024171049667969593,0.34078619587632747,0.06120274739090387,0.16639129994727828,0.048425668852977,3.8077285528182983,1258.1724650859833,0.05970045350782875,0.01274125898505884,0.11767352180852517,0.015404675091102531,0.058052822508161975,0.015266675140489088,0.07847559927483864,0.01136188462329779
Wine Quality Red,0.6315526091510171,0.03368193428184297,0.9356493467204837,0.06672694179022923,0.3489962643279057,0.018941580537928264,0.665874908936971,0.024809467133241364,0.3168786446090654,0.01681960046288914,1.5229694604873658,1328.375521659851,0.11164125755639054,0.00957409959819693,0.24098244145512587,0.012834041039503731,0.1102876077635447,0.0074746479319690775,0.15430376892502035,0.008316990189390533
Boston Housing,4.722848251272633,1.172882859456363,2.8210788996016625,0.18127059074149385,2.281621555461508,0.44354184865058,4.230194895414733,0.7601117167259168,1.948573339953225,0.36053475189617434,1.2419777274131776,1488.5812046527863,0.7743525583791775,0.1508100304172999,1.5980103092100106,0.3594746574188717,0.6644607387910748,0.16052380286376158,1.0122745354600877,0.18834067710481972
Concrete Compression Strength,7.3768438526808,1.789458819866892,3.4076285213563695,0.287495706636861,3.782154947760828,0.8545516737194488,7.029859294803371,1.6533226261031653,3.247704347042545,0.819342760847792,2.188123631477356,1583.1281945705414,1.3227464693994289,0.3108967554683733,2.7746701686049176,0.6773286956354864,0.8485148621452974,0.14518650383406362,1.6486438333832147,0.3421958780544477
Naval Propulsion,0.0011044611414061524,9.160828011531223e-05,-5.589234768332647,0.028745454368376715,0.0005541129554298309,2.441897219764084e-05,0.00124652663682187,8.411601124873677e-05,0.0006924136813920389,6.644276161117006e-05,13.592719161510468,2348.754387140274,0.00018509150679361957,1.2717811883310945e-05,0.0003658391761859729,1.5079298395502408e-05,0.00018775744583724848,1.1353568772847655e-05,0.0002462293762722803,1.098654090094735e-05
Combined Cycle Power Plant,3.8492792526856427,0.21942313262828192,2.808535196078853,0.09069175249477202,2.078988267738235,0.11034543781444173,4.018908243825026,0.2236089342452221,1.939919976086791,0.12425738808954555,5.218437910079956,3464.9155220985413,0.7173838556938527,0.04541679755253191,1.4518672278074385,0.08179570335002917,0.5870756964970083,0.022982692096390988,0.9187755933327667,0.045635125968852844
Kin8nm,0.1069005290961909,0.002959159126268349,-0.8836350847805114,0.021433365454616295,0.059042310498745,0.0015192523798726522,0.11702341917634274,0.0020332915260738017,0.057981108677597724,0.001415481166862502,17.499681615829466,4261.0938131809235,0.019372175234754284,0.0005413075642800847,0.04158472528871487,0.0012471335322148745,0.01660651252760869,0.0004408783565335753,0.025854471017025944,0.000641505965037568
Protein Structure,4.129415399486692,0.05307736252430546,2.777819462257153,0.14617313907218096,2.1266777294388484,0.029388072394565937,4.055713238372237,0.0964628790329441,1.929035508933389,0.07235918382705304,4.6364748001098635,8739.499788761139,0.5893147698839014,0.010652895311681143,1.4994598646264041,0.01998884280092319,0.7241300817038789,0.011222457295721702,0.9376349054047282,0.012656972566155437
Year Prediciton MSD,114.62921211510542,0.0,6.212997136299016,0.0,70.7064246584581,0.0,135.88119642206414,0.0,65.17477176360603,0.0,1126.3819088935852,96755.67717051506,26.383087924217385,0.0,57.126808318858316,0.0,5.165054323597153,0.0,29.558316855557617,0.0
