dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Wine Quality Red,0.6254455953059325,0.03309546955180242,0.9072294534120016,0.06444758142017014,0.34376190109869537,0.017487877071643582,0.6912810576228958,0.028782607439106923,0.3475191565242004,0.024466521351957832,0.20941264629364015,1177.6023545265198,0.1129988270247499,0.009461039713059116,0.23708855547010899,0.011561253625348251,0.10542661795141099,0.007746771644068421,0.15183800014875662,0.0078039825871932264
Boston Housing,5.487227805418534,1.1939620826999262,2.940025745764871,0.16659937353400991,2.7894309087936313,0.49238920395349883,4.9002084117835265,0.8029545568887421,2.1107775029898956,0.3674647305384772,0.5505371332168579,1218.0347862243652,0.7468446073096281,0.12723744200567877,1.9876685873667395,0.3598757894167663,0.887419866542578,0.2207968534970999,1.207311020406315,0.20861684807944192
Energy Efficiency,0.48165523757554213,0.06733242489149348,0.5610867278225398,0.22367637171381313,0.2450148850645158,0.02427574746547376,0.478702219514755,0.04135193180505369,0.23368733445023926,0.02811697624186799,0.6618767857551575,1265.4332337379456,0.08286589189966528,0.010197733264541958,0.17976117747666,0.016048089357971793,0.059505903156954296,0.013437049312226217,0.10737765751109321,0.010953422564283603
Yacht Hydrodynamics,0.7500483747449367,0.3394052167164429,0.40750441597182785,0.23569271854600707,0.29509542961311735,0.09569991523984564,0.547982710719477,0.13386478724136008,0.25288728110635966,0.056071704535885995,0.4804349899291992,1391.7377452850342,0.09624715502249376,0.028001609470365167,0.207472674751474,0.062250538921498524,0.09357359893082311,0.05085657657279764,0.13243114290159697,0.044125177135818455
Concrete Compression Strength,5.812668121798439,0.8474225894402554,3.3445897097228703,0.29087097406994417,3.179553214476198,0.48952535759282645,5.411736324026849,0.8861037622451203,2.232183109550651,0.47576706180037953,1.4658491373062135,1443.2274632453918,0.9745487397320117,0.1703926220506079,2.2237052098025307,0.34609105345711255,0.9932470234239945,0.16735004210744941,1.397166990986179,0.20591988149933063
Combined Cycle Power Plant,3.5376096519132636,0.17322758997685353,2.7227556682418745,0.1686343299309548,1.881052076952076,0.09373178404162759,3.5173324147466074,0.23364247529503515,1.6362803377945312,0.1605967371225245,3.8227248787879944,2034.3643207550049,0.6021972253872685,0.035258024717985635,1.3090105290746736,0.06830159218582424,0.5811983388717549,0.03277320759995568,0.8308020311112324,0.039953546222057934
Naval Propulsion,0.03041008034227723,8.419174286136162e-05,-2.0851508081992383,0.002811572128351481,0.018376327405598254,5.237340468425443e-05,0.03530016702566528,8.973067065639322e-05,0.01692383962006703,3.914594579623573e-05,13.867777168750763,5234.439854383469,0.006905975531725178,1.7079530686991842e-05,0.015116314597351643,4.158088889777776e-05,0.0008595926230388675,3.3638862502299567e-06,0.007627294250705229,1.970480720423806e-05
Kin8nm,0.18076754162222528,0.004291256358321814,-0.35905484850059005,0.02562592540080308,0.1015163252027043,0.002376099490730669,0.1859695595227709,0.00420898209051563,0.0844532343200666,0.002224677459107568,7.279651844501496,5265.382654905319,0.03213386041965875,0.0010580600995488264,0.07346126944446042,0.001765301454003506,0.02566589584640559,0.0006789238700309884,0.04375367523684158,0.0009643799419685012Year Prediciton MSD,9.332879862640102,0.0,8.88390962014036,0.0,5.881420198159908,0.0,7.266307665290433,0.0,1.384887467130525,0.0,827.7640585899353,26705.305462121964,2.3142641998285822,0.0,3.4885141728482147,0.0,2.5943715906178846,0.0,2.799049987764894,0.0
Protein Structure,4.052310416304759,0.03801317888491425,2.7322970115466303,0.01802801116547052,2.172838844459045,0.028359908057547616,4.129552196695256,0.0853332014831889,1.956713352236212,0.058960955788911085,17.742826461791992,9188.215059280396,0.6022706573948519,0.009611126946125351,1.5097965585507584,0.02611302814214653,0.7698051073869143,0.0058651347850826475,0.9606241077775082,0.0119532416253689
Year Prediciton MSD,9.084624985249295,0.0,3.515859004738416,0.0,4.708832528491056,0.0,8.994970098425146,0.0,4.286137569934089,0.0,144.97060370445251,86465.25801539421,1.8791427799272595,0.0,3.198032818554691,0.0,1.2167673831661536,0.0,2.0979809938827017,0.0
