dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Wine Quality Red,0.6423007997942253,0.03669344233416141,0.9370486913963347,0.06858147953752133,0.35332275110472183,0.019628511184487857,0.6914056385865746,0.030647000762051388,0.3380828874818527,0.021320591450223185,0.5599028587341308,1107.9557230472565,0.11432792745995965,0.0099752804822394,0.24508976787328715,0.01401593423143199,0.10955895154784101,0.007942894109779663,0.15632554896036263,0.00839556947123881
Energy Efficiency,1.2677196754437725,0.2410093806500325,1.4928873858749236,1.2892780080040696,0.5215286546104014,0.0924338637465742,1.1006520986739432,0.21582917723634812,0.5791234440635418,0.12723166235865685,0.9163393020629883,1111.959811925888,0.21049257950553663,0.04421164305314245,0.40947118416575634,0.07731202358604043,0.07928245484512171,0.01600827612030624,0.23308207283880492,0.043295572921502684
Boston Housing,6.251400115201909,1.3830785308275306,3.1528728160040087,0.9173667013976975,2.8430280734147626,0.5534886955208278,4.844177275232941,0.8707130537541317,2.0011492018181785,0.37182924643610454,0.3746412396430969,1231.1200346946716,0.8236352297023215,0.15680280887927944,2.0438745683782242,0.40961673439344054,0.8360494877037329,0.23676233690487522,1.234519761928093,0.24438923931673848
Concrete Compression Strength,8.350673271532484,1.4938980373519626,3.5976821638097967,0.42205506702760676,4.3043121281602,0.7389696514853843,7.312179354882391,1.392223041400076,3.007867226722191,0.7155266034728668,0.2631443977355957,1200.9888896942139,1.261382654056612,0.19854328259870646,3.113018656395529,0.5600942773636378,1.2104657059714188,0.24420073520278662,1.8616223388078534,0.2937260271285561
Combined Cycle Power Plant,4.246096586046344,0.14809375988553264,2.816532383744742,0.14562563559380579,2.2231584009076037,0.08091226550503493,4.238040951978702,0.21462165222822419,2.014882551071098,0.151304228742706,3.4259525775909423,1840.9856369495392,0.748471088884283,0.03275794905745728,1.6015620655470382,0.06288384872000405,0.5604672348174201,0.03350174606059374,0.9701667964162471,0.03419788708914744
Naval Propulsion,0.0011437802386178272,0.0002519176392042408,-5.533648380436985,0.053909981796298946,0.0005579361815413834,6.360824880791587e-05,0.0010769469798364956,7.836608258679647e-05,0.0005190107982951124,2.3544190945053555e-05,4.107336974143982,2380.3158519268036,0.00020094766730591697,1.3077411770483533e-05,0.00039211556811544174,4.616618062541893e-05,0.0001445253607445423,2.3601820347443038e-05,0.0002458628653886337,2.6650957331065713e-05
Kin8nm,0.1593865534202225,0.00509369189821298,-0.5339498637034843,0.029213304158241513,0.08574338669327308,0.0024016421437751652,0.1542476204774634,0.0037090815299798286,0.06850423378419032,0.0016826216192190634,1.4008572220802307,4253.183775424957,0.027965052649256677,0.001002826239942632,0.06103454276723149,0.001759885381962367,0.02318442551353931,0.0007702955892484702,0.037394673643342494,0.000982255173465941
Year Prediciton MSD,9.116365765805735,0.0,3.444632450740474,0.0,4.548696512597154,0.0,8.622537204258355,0.0,4.073840691661202,0.0,439.8200044631958,89940.59424471855,1.8442492920564377,0.0,3.140378570660082,0.0,1.0695049784189647,0.0,2.018044280378495,0.0
Protein Structure,4.698295860743433,0.04732542827979893,2.9992052815865256,0.16054728317660413,2.474573044480792,0.039357661897802,4.697504640652839,0.08180363858520916,2.2229315961720473,0.05238269892329204,2.8907047748565673,7507.670905590057,0.6463921176111878,0.01101259059304744,1.775349482880769,0.029442342200060423,0.8277474985639838,0.01277365705173121,1.0831630330186468,0.015864502802575592
Yacht Hydrodynamics,4.5246129167643305,1.561298183115213,1.7056304524552819,0.959449246174906,1.4454889469153405,0.566724506647572,2.1205264279335383,0.6572277694812616,0.6750374810181975,0.11666861892916662,0.783450472354889,1635.2018394470215,0.3442053965248201,0.0881565981231988,0.953971949981826,0.32655031459554495,0.7385316313858417,0.40775275816842593,0.6789029926308292,0.27081275593831117
